2021-05-24 17:25:53,692 [AUDIT] Token created by 'jffe@000': tokenId='a6a670b5-1370-48ee-b833-1c8d254e7982', issuer='jffe@000', subject='jffe@000', expiry=1621877753692, refreshable=false
2021-05-24 17:35:53,743 [AUDIT] Token created by 'jffe@000': tokenId='a2d51cb7-4060-42b2-8dd7-c02375f0694d', issuer='jffe@000', subject='jffe@000', expiry=1621878353743, refreshable=false
2021-05-24 17:35:53,745 [AUDIT] Token created by 'jffe@000': tokenId='985bc875-385e-4d3b-a776-a46edb2cdd65', issuer='jffe@000', subject='jffe@000', expiry=1621878353744, refreshable=false
2021-05-24 17:35:53,753 [AUDIT] Token created by 'jffe@000': tokenId='6061b6cf-11cd-4402-ac9c-62367bed713e', issuer='jffe@000', subject='jffe@000', expiry=1621878353753, refreshable=false
2021-05-24 17:35:53,756 [AUDIT] Token created by 'jffe@000': tokenId='14f67e56-5a8c-42d7-806c-7189ab5b678b', issuer='jffe@000', subject='jffe@000', expiry=1621878353756, refreshable=false
2021-05-24 17:45:53,858 [AUDIT] Token created by 'jffe@000': tokenId='9c78d736-4e31-44be-81d2-af39f0bbc449', issuer='jffe@000', subject='jffe@000', expiry=1621878953858, refreshable=false
2021-05-24 17:45:53,858 [AUDIT] Token created by 'jffe@000': tokenId='ad1d64e4-ba17-4c89-802f-503b9f79359d', issuer='jffe@000', subject='jffe@000', expiry=1621878953858, refreshable=false
2021-05-24 17:45:53,858 [AUDIT] Token created by 'jffe@000': tokenId='312454d0-a5c2-40ac-aeba-a95455cbda39', issuer='jffe@000', subject='jffe@000', expiry=1621878953858, refreshable=false
2021-05-24 17:45:53,868 [AUDIT] Token created by 'jffe@000': tokenId='b306752f-a986-48ad-a7b8-564e11b14a84', issuer='jffe@000', subject='jffe@000', expiry=1621878953868, refreshable=false
2021-05-24 17:55:53,904 [AUDIT] Token created by 'jffe@000': tokenId='82921ce1-cc1c-465a-9f37-c7f4a872db18', issuer='jffe@000', subject='jffe@000', expiry=1621879553904, refreshable=false
2021-05-24 17:55:53,904 [AUDIT] Token created by 'jffe@000': tokenId='ce2f322b-4c5a-490c-be80-58b433ee0cc3', issuer='jffe@000', subject='jffe@000', expiry=1621879553904, refreshable=false
2021-05-24 17:55:53,904 [AUDIT] Token created by 'jffe@000': tokenId='9e5e5dd9-7922-40af-856a-de1572ec15af', issuer='jffe@000', subject='jffe@000', expiry=1621879553904, refreshable=false
2021-05-24 17:55:53,908 [AUDIT] Token created by 'jffe@000': tokenId='c3140896-05aa-4d34-87ea-58daa3c99ef1', issuer='jffe@000', subject='jffe@000', expiry=1621879553908, refreshable=false
2021-05-24 18:05:53,956 [AUDIT] Token created by 'jffe@000': tokenId='8887eb1f-c2fb-4e8e-99ff-886ec2e7838e', issuer='jffe@000', subject='jffe@000', expiry=1621880153956, refreshable=false
2021-05-24 18:05:53,960 [AUDIT] Token created by 'jffe@000': tokenId='571de798-5c24-42a6-91b4-096035f0771f', issuer='jffe@000', subject='jffe@000', expiry=1621880153960, refreshable=false
2021-05-24 18:05:53,960 [AUDIT] Token created by 'jffe@000': tokenId='89d02138-49a1-407d-ad35-e41d72e46927', issuer='jffe@000', subject='jffe@000', expiry=1621880153960, refreshable=false
2021-05-24 18:05:53,961 [AUDIT] Token created by 'jffe@000': tokenId='cbfe1f9e-f750-4bd9-bad7-cd6e2d719791', issuer='jffe@000', subject='jffe@000', expiry=1621880153961, refreshable=false
2021-05-24 18:15:54,064 [AUDIT] Token created by 'jffe@000': tokenId='c74fac6f-d847-42d2-b91a-7c6c16e58545', issuer='jffe@000', subject='jffe@000', expiry=1621880754064, refreshable=false
